address,type,zip_code,city,price,living_area,plot_size,rooms,href
Den Dolvert 12,woonhuis,5473 GP,Heeswijk-Dinther,535000,254 ,288 ,7,/en/koop/heeswijk-dinther/huis-412378-den-dolvert-12/
Stilleweg 1,woonhuis,7039 CX,Stokkum,2500000,500 ,5805 ,4,/en/koop/stokkum/huis-4102209-stilleweg-1/
Turnhoutseweg 50,woonhuis,5541 NZ,Reusel,0,190 ,1730 ,5,/en/koop/reusel/huis-47400077-turnhoutseweg-50/
Eltenseweg 2,woonhuis,6915 KA,Lobith,0,250 ,1029 ,9,/en/koop/lobith/huis-47274113-eltenseweg-2/
IJsseldijk-Noord 77,woonhuis,2935 BJ,Ouderkerk aan den IJssel,1150000,300 ,3788 ,8,/en/koop/ouderkerk-aan-den-ijssel/huis-48696157-ijsseldijk-noord-77/
Liniedijk 10,woonhuis,4571 PD,Axel,0,850 ,20011 ,12,/en/koop/axel/huis-84125206-liniedijk-10/
Hereweg 55 B,woonhuis,6373 VE,Landgraaf,199000,105 ,130 ,5,/en/koop/landgraaf/huis-84148841-hereweg-55-b/
Oud-Valkenburg 5,woonhuis,6305 AA,Schin op Geul,3955000,750 ,5000 ,16,/en/koop/schin-op-geul/huis-84535529-oud-valkenburg-5/
Paardestraat 24 -26,woonhuis,6131 HC,Sittard,599000,275 ,470 ,12,/en/koop/sittard/huis-84567482-paardestraat-24-26/
Langestraat 39,woonhuis,9995 PD,Kantens,245000,140 ,307 ,7,/en/koop/kantens/huis-48283233-langestraat-39/
Van Bronckhorstlaan 9,woonhuis,2242 PX,Wassenaar,4750000,300 ,2056 ,8,/en/koop/wassenaar/huis-48311364-van-bronckhorstlaan-9/
Volgerweg 18,woonhuis,1462 HP,Middenbeemster,0,385 ,9200 ,8,/en/koop/middenbeemster/huis-85078083-volgerweg-18/
De Rhijenhof 6 B,woonhuis,2548 AA,Den Haag,1700000,485 ,672 ,9,/en/koop/den-haag/huis-49635699-de-rhijenhof-6-b/
Patrijslaan 13,woonhuis,5683 RK,Best,2950000,992 ,3645 ,8,/en/koop/best/huis-49782775-patrijslaan-13/
Bredaseweg 510,woonhuis,5036 NB,Tilburg,0,335 ,94665 ,7,/en/koop/tilburg/huis-49012208-bredaseweg-510/
Den Dolvert 12,woonhuis,5473 GP,Heeswijk-Dinther,535000,254 ,288 ,7,/en/koop/heeswijk-dinther/huis-412378-den-dolvert-12/
Stilleweg 1,woonhuis,7039 CX,Stokkum,2500000,500 ,5805 ,4,/en/koop/stokkum/huis-4102209-stilleweg-1/
Turnhoutseweg 50,woonhuis,5541 NZ,Reusel,0,190 ,1730 ,5,/en/koop/reusel/huis-47400077-turnhoutseweg-50/
Eltenseweg 2,woonhuis,6915 KA,Lobith,0,250 ,1029 ,9,/en/koop/lobith/huis-47274113-eltenseweg-2/
IJsseldijk-Noord 77,woonhuis,2935 BJ,Ouderkerk aan den IJssel,1150000,300 ,3788 ,8,/en/koop/ouderkerk-aan-den-ijssel/huis-48696157-ijsseldijk-noord-77/
Liniedijk 10,woonhuis,4571 PD,Axel,0,850 ,20011 ,12,/en/koop/axel/huis-84125206-liniedijk-10/
Hereweg 55 B,woonhuis,6373 VE,Landgraaf,199000,105 ,130 ,5,/en/koop/landgraaf/huis-84148841-hereweg-55-b/
Oud-Valkenburg 5,woonhuis,6305 AA,Schin op Geul,3955000,750 ,5000 ,16,/en/koop/schin-op-geul/huis-84535529-oud-valkenburg-5/
Paardestraat 24 -26,woonhuis,6131 HC,Sittard,599000,275 ,470 ,12,/en/koop/sittard/huis-84567482-paardestraat-24-26/
Langestraat 39,woonhuis,9995 PD,Kantens,245000,140 ,307 ,7,/en/koop/kantens/huis-48283233-langestraat-39/
Van Bronckhorstlaan 9,woonhuis,2242 PX,Wassenaar,4750000,300 ,2056 ,8,/en/koop/wassenaar/huis-48311364-van-bronckhorstlaan-9/
Volgerweg 18,woonhuis,1462 HP,Middenbeemster,0,385 ,9200 ,8,/en/koop/middenbeemster/huis-85078083-volgerweg-18/
De Rhijenhof 6 B,woonhuis,2548 AA,Den Haag,1700000,485 ,672 ,9,/en/koop/den-haag/huis-49635699-de-rhijenhof-6-b/
Patrijslaan 13,woonhuis,5683 RK,Best,2950000,992 ,3645 ,8,/en/koop/best/huis-49782775-patrijslaan-13/
Bredaseweg 510,woonhuis,5036 NB,Tilburg,0,335 ,94665 ,7,/en/koop/tilburg/huis-49012208-bredaseweg-510/
Dorpsstraat 59,woonhuis,2396 HD,Koudekerk aan den Rijn,0,217 ,253 ,5,/en/koop/koudekerk-aan-den-rijn/huis-49014619-dorpsstraat-59/
Midwolderweg,woonhuis,9351 PG,Leek,471380,250 ,3400 ,3,/en/koop/leek/huis-49196121-midwolderweg/
de Braak 115 -117,woonhuis,7481 JE,Haaksbergen,995000,160 ,1699 ,4,/en/koop/haaksbergen/huis-49107174-de-braak-115-117/
Borchmolendijk 11,woonhuis,5492 AJ,Sint-Oedenrode,799000,194 ,337 ,6,/en/koop/sint-oedenrode/huis-85692494-borchmolendijk-11/
Spoordamstraat 74,woonhuis,6415 AR,Heerlen,475000,395 ,950 ,6,/en/koop/heerlen/huis-86077064-spoordamstraat-74/
Boekelseweg 26,woonhuis,5423 XB,Handel,1650000,837 ,5410 ,12,/en/koop/handel/huis-40725085-boekelseweg-26/
Dril 8,woonhuis,1131 ZS,Volendam,349000,95 ,82 ,5,/en/koop/volendam/huis-40873654-dril-8/
D.P.A. Weeversstraat 1 3,woonhuis,8316 GG,Marknesse,1000000,236 ,10000 ,6,/en/koop/marknesse/huis-86285438-dpa-weeversstraat-1-3/
Oude Pastoriestraat 5,woonhuis,5398 JR,Maren-Kessel,1900000,380 ,4007 ,8,/en/koop/maren-kessel/huis-40919317-oude-pastoriestraat-5/
Driemarkweg 16,woonhuis,7109 CB,Winterswijk Miste,3500000,350 ,52825 ,13,/en/koop/winterswijk-miste/huis-40913260-driemarkweg-16/
Felixkade,woonhuis,4493,Kamperland,0,120 ,,5,/en/koop/kamperland/huis-40094077-felixkade/
Pastorij 1,woonhuis,5508 LT,Veldhoven,1250000,291 ,1195 ,6,/en/koop/veldhoven/huis-40188316-pastorij-1/
Installatieweg 8 10 12,woonhuis,8251 KM,Dronten,1300000,375 ,4241 ,15,/en/koop/dronten/huis-40196612-installatieweg-8-10-12/
Kaai 23,woonhuis,4524 CL,Sluis,549000,175 ,124 ,4,/en/koop/sluis/huis-86575979-kaai-23/
Polenweg 1,woonhuis,4538 AP,Terneuzen,0,140 ,2534 ,5,/en/koop/terneuzen/huis-86585326-polenweg-1/
Zandstraat 153,woonhuis,4551 LE,Sas van Gent,175000,88 ,246 ,3,/en/koop/sas-van-gent/huis-86591632-zandstraat-153/
Kardinaal van Rossumplein 57,woonhuis,6221 SX,Maastricht,0,250 ,254 ,12,/en/koop/maastricht/huis-86595842-kardinaal-van-rossumplein-57/
Hoogstraat 19,woonhuis,4611 MS,Bergen op Zoom,559000,344 ,140 ,6,/en/koop/bergen-op-zoom/huis-86611063-hoogstraat-19/
Vlinderslag 51,woonhuis,4286 GB,Almkerk,1250000,317 ,1038 ,7,/en/koop/almkerk/huis-40269666-vlinderslag-51/
Scherpbierseweg 14,woonhuis,4503 GS,Groede,1250000,350 ,19260 ,5,/en/koop/groede/huis-40294018-scherpbierseweg-14/
Molenhofstraat 23,woonhuis,6669 DM,Dodewaard,0,95 ,2860 ,4,/en/koop/dodewaard/huis-86673542-molenhofstraat-23/
Gemeenteweg 121,woonhuis,7951 CG,Staphorst,375000,155 ,243 ,6,/en/koop/staphorst/huis-40327124-gemeenteweg-121/
Axelsestraat 176 /A,woonhuis,4537 AS,Terneuzen,549000,150 ,360 ,7,/en/koop/terneuzen/huis-40341684-axelsestraat-176-a/
Haarlemmerstraatweg 1,woonhuis,2343 LA,Oegstgeest,1445000,139 ,3475 ,3,/en/koop/oegstgeest/huis-87875296-haarlemmerstraatweg-1/
Rijksweg 1,woonhuis,5953 AA,Reuver,0,155 ,57265 ,6,/en/koop/reuver/huis-41425541-rijksweg-1/
Tabaksweg 14,woonhuis,3848 BW,Harderwijk,1795000,449 ,2310 ,11,/en/koop/harderwijk/huis-41437106-tabaksweg-14/
